0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
0.30,5.00,0.00,0.00
